,BAVN_COMPANY_ID,MBE_COMPANY_NAME,FIRST_BAVN_NAME,SECOND_BAVN_NAME,BAVN_DBA
0,208,"Vanir Construction Management, Inc.",VANIR CONSTRUCTION MANAGEMENT INC,,
1,216,International Environmental Corporation,INTERNATIONAL ENVIRONMENTAL CORPORATION,,
2,223,"Ralph E. Hernandez Trucking, Inc.",RALPH E HERNANDEZ TRUCKING INC,,
3,233,"D R Consultants & Designers, Inc.",D R CONSULTANTS & DESIGNERS INC,,
4,234,David Aroz Plumbing,,,
5,250,"Kennard Design Group, Inc.",,,
6,254,"Ayala Boring, Inc.",AYALA BORING INC,,
7,258,"E.W. Moon, Inc.",E W MOON INC,,
8,260,Viniegra and Viniegra Architecture,VINIEGRA & VINIEGRA ARCHITECTURE,,
9,263,"Kal Krishnan Consulting Services, Inc.",KAL KRISHNAN CONSULTING SERVICES INC,,
10,279,"Atlas Underground, Inc.",ATLAS UNDERGROUND INC,,
11,285,"Earth Mechanics, Inc.",EARTH MECHANICS INC,,
12,287,Cadstar Inc.,CADSTAR INC,,
13,288,Macro-Z-Technology Company,MACRO Z TECHNOLOGY COMPANY,,
14,305,Kumamoto Associates,JOANNE KUMAMOTO/ALAN KUMAMOTO,,KUMAMOTO ASSOCIATES
15,307,"Pacifica Services, Inc.",PACIFICA SERVICES INC,,
16,308,"Bali Construction, Inc.",BALI CONSTRUCTION INC,,
17,327,LAGRANT COMMUNICATIONS,THE LA GRANT GROUP INC,,LAGRANT COMMUNICATIONS
18,335,"Luster National, Inc.",LUSTER NATIONAL INC,,
19,336,"Marrs Services, Inc.",MARRS SERVICES INC,,
20,339,Office Supplies Co.,,,
21,340,"PRWT Services, Inc.",PRWT SERVICES INC,,
22,346,Shilpark Paint Company,,,
23,348,"Lumas Air, Inc.",LUMAS AIR INC,,
24,356,"Ace Engineering, Inc.",ACE ENGINEERING INC,,
25,368,"Ming Yang Yeh and Associates,  Inc.","MING YANG YEH & ASSOCIATES, INC.",,
26,369,"CS3:Computing Services Support Solutions, Inc.",COMPUTING SERVICES SUPPORT SOLUTIONS INC,,
27,387,Construction Dynamics,PAUL C WOMACK,,CONSTRUCTION DYNAMICS
28,391,"Cornerstone Studios, Inc.",CORNERSTONE STUDIOS INC,,
29,392,Calpec Engineering,,,
30,425,"Lee's Maintenance Service, Inc.",LEE'S MAINTENANCE SERVICE INC,,
