,Unnamed: 0,id_number,fiscal_year,department_name,vendor_name,transaction_date,dollar_amount,authority,btrc,government_activity,fund_group_name,fund_type,fund_name,fund,account_name,account_code,transaction_id,expenditure_type,fiscal_month_number,fiscal_year_month,fiscal_year_quarter,calendar_month_number,calendar_month_year,calendar_month,data_source,authority_name,department_number,vendor_id,zip,payment_method,payment_status,inv_num,inv_date,inv_line,inv_dist_line,po_num,description,detailed_item_description,procurement_organization,supplier_city,supplier_country,site_location,currency,value_of_spend,vendor_num,program,invoice_due_date,invoice_discount_due_date,discount,po_date,po_line_number,buyer_name,bu_name,sales_tax_percent,sales_tax,item_code,item_code_name,unit_price,quantity,receiver_id,settlement_judgment,authority_link
0,407.0,6785055,2020,WATER AND POWER,LOGANS MARKETING,2020-05-14T00:00:00.000,4592.74,02943 020,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,587893,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,LOGANS MARKETING,98.0,23343001,92113,CHECK,PAID,3655,2020-04-21T00:00:00.000,1,1,54775,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,SAN DIEGO,USA,LOS ANGELES,USD,,023343001 - LOGANS MARKETING,POWER REVENUE FUND,2020-04-22T00:00:00.000,2020-04-22T00:00:00.000,0.0,,,,,,,,,,,,,
1,408.0,6785054,2020,WATER AND POWER,LOGANS MARKETING,2020-04-22T00:00:00.000,2793.81,02943 020,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,585491,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,LOGANS MARKETING,98.0,23343001,92113,CHECK,PAID,3622,2020-02-28T00:00:00.000,1,1,60512,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,SAN DIEGO,USA,LOS ANGELES,USD,,023343001 - LOGANS MARKETING,POWER REVENUE FUND,2020-02-29T00:00:00.000,2020-02-29T00:00:00.000,0.0,,,,,,,,,,,,,
2,714.0,6784627,2020,WATER AND POWER,CARBON ACTIVATED CORP,2020-06-01T00:00:00.000,23072.01,00925 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,173318,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,CARBON ACTIVATED CORP,98.0,46461000,90220,CHECK,PAID,46847,2020-05-22T00:00:00.000,1,1,75909,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,COMPTON,USA,LOS ANGELES,USD,,046461000 - CARBON ACTIVATED CORP,WATER REVENUE FUND,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,0.0,,,,,,,,,,,,,
3,715.0,6784626,2020,WATER AND POWER,CARBON ACTIVATED CORP,2020-05-13T00:00:00.000,23072.01,00925 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,170959,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,CARBON ACTIVATED CORP,98.0,46461000,90220,CHECK,PAID,47695,2020-04-22T00:00:00.000,1,1,72360,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,COMPTON,USA,LOS ANGELES,USD,,046461000 - CARBON ACTIVATED CORP,WATER REVENUE FUND,2020-04-23T00:00:00.000,2020-04-23T00:00:00.000,0.0,,,,,,,,,,,,,
4,943.0,6784408,2020,WATER AND POWER,ABET SECURITY SERVICES INC,2020-06-11T00:00:00.000,12539.79,47583E  0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,218333,PROFESSIONAL SERVICES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,ABET SECURITY SERVICES INC,98.0,69209006,91789,CHECK,PAID,5980,2020-05-27T00:00:00.000,1,1,,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,LADWP,WALNUT,USA,LOS ANGELES,USD,,069209006 - ABET SECURITY SERVICES INC,WATER REVENUE FUND,2020-05-28T00:00:00.000,2020-05-28T00:00:00.000,0.0,,,,,,,,,,,,,
5,978.0,6784366,2020,WATER AND POWER,AMERICAN UTILITY PRODUCTS,2020-04-24T00:00:00.000,37974.6,01635 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,585723,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,AMERICAN UTILITY PRODUCTS,98.0,43575005,91740,CHECK,PAID,7496,2020-04-20T00:00:00.000,1,1,99652,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,GLENDORA,USA,LOS ANGELES,USD,,043575005 - AMERICAN UTILITY PRODUCTS,POWER REVENUE FUND,2020-04-21T00:00:00.000,2020-04-21T00:00:00.000,0.0,,,,,,,,,,,,,
6,979.0,6784365,2020,WATER AND POWER,AMERICAN UTILITY PRODUCTS,2020-04-17T00:00:00.000,4813.07,01446 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,584449,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,AMERICAN UTILITY PRODUCTS,98.0,43575005,91740,CHECK,PAID,7492,2020-04-06T00:00:00.000,1,1,62908,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,GLENDORA,USA,LOS ANGELES,USD,,043575005 - AMERICAN UTILITY PRODUCTS,POWER REVENUE FUND,2020-04-07T00:00:00.000,2020-04-07T00:00:00.000,0.0,,,,,,,,,,,,,
7,980.0,6784364,2020,WATER AND POWER,AMERICAN UTILITY PRODUCTS,2020-04-16T00:00:00.000,28480.95,01635 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,584019,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,AMERICAN UTILITY PRODUCTS,98.0,43575005,91740,CHECK,PAID,7490,2020-04-07T00:00:00.000,1,1,99491,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,GLENDORA,USA,LOS ANGELES,USD,,043575005 - AMERICAN UTILITY PRODUCTS,POWER REVENUE FUND,2020-04-08T00:00:00.000,2020-04-08T00:00:00.000,0.0,,,,,,,,,,,,,
8,981.0,6784363,2020,WATER AND POWER,AMERICAN UTILITY PRODUCTS,2020-04-09T00:00:00.000,26582.22,01635 010,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,582583,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,AMERICAN UTILITY PRODUCTS,98.0,43575005,91740,CHECK,PAID,7488,2020-03-27T00:00:00.000,1,1,99491,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,GLENDORA,USA,LOS ANGELES,USD,,043575005 - AMERICAN UTILITY PRODUCTS,POWER REVENUE FUND,2020-03-28T00:00:00.000,2020-03-28T00:00:00.000,0.0,,,,,,,,,,,,,
9,1065.0,6784275,2020,WATER AND POWER,US ROCK CORPORATION,2020-06-23T00:00:00.000,3068.5,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,590515,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2977,2020-06-04T00:00:00.000,1,1,77260,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-06-29T00:00:00.000,2020-06-29T00:00:00.000,62.62,,,,,,,,,,,,,
