,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id_number,fiscal_year,department_name,vendor_name,transaction_date,dollar_amount,government_activity,fund_group_name,fund_type,fund_name,fund,account_name,account_code,transaction_id,expenditure_type,fiscal_month_number,fiscal_year_month,fiscal_year_quarter,calendar_month_number,calendar_month_year,calendar_month,data_source,authority_name,department_number,program,vendor_id,zip,payment_method,payment_status,inv_num,invoice_due_date,inv_date,inv_line,inv_dist_line,po_num,description,detailed_item_description,po_date,po_line_number,procurement_organization,buyer_name,supplier_city,supplier_country,bu_name,site_location,currency,vendor_num,sales_tax_percent,sales_tax,item_code,item_code_name,discount,authority,btrc,value_of_spend,receiver_id,settlement_judgment,authority_link,invoice_discount_due_date,unit_price,quantity
0,0.0,0.0,166.0,7012861,2021,HARBOR,D R CONSULTANTS & DESIGNERS INC,2020-11-17T00:00:00.000,283.5,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED MISC. PROFESSIONAL SERVICES,13804,667885,54290 MISC. PROFESSIONAL SVC,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,D R CONSULTANTS & DESIGNERS INC,42,P400 - STORAGE TRACKS EXPANSION,6248,90017,CHECK,PAID,8020.02-02 REV 1,2020-12-05T00:00:00.000,2020-10-05T00:00:00.000,3,3,AG3709-8020.02-2REV1,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,2020-11-04T00:00:00.000,3.0,HARBOR,1378.0,LOS ANGELES,US,HARBOR,ENG,USD,6248 - D R CONSULTANTS & DESIGNERS INC,,,,,,,,,,,,,,
1,1.0,1.0,167.0,7012860,2021,HARBOR,D R CONSULTANTS & DESIGNERS INC,2020-11-17T00:00:00.000,18375.0,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED MISC. PROFESSIONAL SERVICES,13804,667885,54290 MISC. PROFESSIONAL SVC,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,D R CONSULTANTS & DESIGNERS INC,42,"DESIGN, CONTRACT ADM & INSP MISC.",6248,90017,CHECK,PAID,8020.02-02 REV 1,2020-12-05T00:00:00.000,2020-10-05T00:00:00.000,2,2,AG3709-8020.02-2REV1,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,2020-11-04T00:00:00.000,2.0,HARBOR,1378.0,LOS ANGELES,US,HARBOR,ENG,USD,6248 - D R CONSULTANTS & DESIGNERS INC,,,,,,,,,,,,,,
2,2.0,2.0,168.0,7012859,2021,HARBOR,D R CONSULTANTS & DESIGNERS INC,2020-11-17T00:00:00.000,1575.0,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,MISCELLANEOUS PROFESSIONAL SERVICES,54290,667885,54290 MISC. PROFESSIONAL SVC,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,D R CONSULTANTS & DESIGNERS INC,42,PORT-WIDE GRAOUND MOTION STUDY REPORT UPDATE,6248,90017,CHECK,PAID,8020.02-02 REV 1,2020-12-05T00:00:00.000,2020-10-05T00:00:00.000,1,1,AG3709-8020.02-2REV1,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,DR CONSULTANTS & DESIGNERS AG3709 INVOICE NO. 8020.02-02 BILLING PERIOD; 08/01/2020-09/25/2020 ON-CALL ENGINEERING SERVICES DIR NO. 2,2020-11-04T00:00:00.000,1.0,HARBOR,1378.0,LOS ANGELES,US,HARBOR,ENG,USD,6248 - D R CONSULTANTS & DESIGNERS INC,,,,,,,,,,,,,,
3,3.0,3.0,169.0,7012858,2021,HARBOR,D R CONSULTANTS & DESIGNERS INC,2020-11-12T00:00:00.000,5250.0,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,MISCELLANEOUS PROFESSIONAL SERVICES,54290,667824,54290 MISC. PROFESSIONAL SVC,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,D R CONSULTANTS & DESIGNERS INC,42,PORT-WIDE GRAOUND MOTION STUDY REPORT UPDATE,6248,90017,CHECK,PAID,8020.02-01 REV,2020-12-02T00:00:00.000,2020-09-15T00:00:00.000,1,1,AG3709-8020.02-01REV,DR CONSULTANTS AG NO. 3709 INVOICE NO. 8020.02-01 BILLING PERIOD 05/11/20-07/31/20 ON-CALL ENGINEERING SERVICES DIRECTIVE NO.2,DR CONSULTANTS AG NO. 3709 INVOICE NO. 8020.02-01 BILLING PERIOD 05/11/20-07/31/20 ON-CALL ENGINEERING SERVICES DIRECTIVE NO.2,2020-10-29T00:00:00.000,1.0,HARBOR,1378.0,LOS ANGELES,US,HARBOR,ENG,USD,6248 - D R CONSULTANTS & DESIGNERS INC,,,,,,,,,,,,,,
4,4.0,4.0,497.0,7013119,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,1324.58,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CONSTRUCTION MANAGMNT SERVICES,54225,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,B401-406 MAINTENANCE DREDGING,1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,9,9,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK # 2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK # 2,2020-11-16T00:00:00.000,9.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
5,5.0,5.0,498.0,7013118,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,3808.17,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED CONSTRUCTION MANAGMNT SVC,13797,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,"SWINFORD ST, FRONT ST, REGAN ST - RESURFACING PROJECT",1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,8,8,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK # 2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK # 2,2020-11-16T00:00:00.000,8.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
6,6.0,6.0,499.0,7013117,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,6004.74,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED CONSTRUCTION MANAGMNT SVC,13797,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,"PUBLIC AREA, POC PROMENADE",1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,7,7,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,2020-11-16T00:00:00.000,7.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
7,7.0,7.0,500.0,7013116,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,1412.88,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED CONSTRUCTION MANAGMNT SVC,13797,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,B200 RAIL YARD AND TRACK CONNECTIONS ENHANCEMENTS,1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,6,6,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,2020-11-16T00:00:00.000,6.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
8,8.0,8.0,501.0,7013115,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,1059.66,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED CONSTRUCTION MANAGMNT SVC,13797,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,SP WATERFRONT - HBR TO SP SLIP ROADWAY IMPROVEMENTS,1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,5,5,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,2020-11-16T00:00:00.000,5.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
9,9.0,9.0,502.0,7013114,2021,HARBOR,APSI CONSTRUCTION MANAGEMENT,2020-11-23T00:00:00.000,2119.32,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,HARBOR REVENUE,702,CAPITALIZED CONSTRUCTION MANAGMNT SVC,13797,667993,54225 CONSTR MGMT SRVS,5,2021-05 (NOV),2021-02,11,"NOVEMBER,2020",NOVEMBER,HARBOR-ERP,APSI CONSTRUCTION MANAGEMENT,42,"DESIGN, CONTRACT ADM & INSP MISC.",1695,92618,CHECK,PAID,MSEA2008,2020-12-18T00:00:00.000,2020-09-10T00:00:00.000,4,4,AG3335-MSEA2008,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,APSI CONSTRUCTION MANAGEMENT AG#3335 INV#MSEA2008 BILLING PERIOD: 8/1/20-8/31/20 MASTER SCHEDULING ESTIMATING AND CLAIMS MANAGEMENT SERVICES DR. #1 TASK #2,2020-11-16T00:00:00.000,4.0,HARBOR,2730.0,IRVINE,US,HARBOR,CON,USD,1695 - APSI CONSTRUCTION MANAGEMENT,,,,,,,,,,,,,,
